method,dataset,n_nodes,n_communities,largest_community_frac,n_components,largest_component_frac,singleton_communities,mean_train_communities,mean_test_communities
hestia,ames,7278,748,0.7811,748,0.7811,465,67.8,680.2
hestia,caco2_wang,910,272,0.0516,272,0.0516,156,208.0,64.0
hestia,cyp2c19_veith,12665,2352,0.7086,2352,0.7086,1838,752.4,1599.6
hestia,dbaasp_amp,10664,200,0.9782,200,0.9782,183,1.0,199.0
hestia,deeppromoter,3382,1,1.0,1,1.0,0,1.0,0.0
hestia,enzyme_topt,1886,39,0.9767,39,0.9767,34,1.0,38.0
hestia,gue_emp_h3,14965,2,0.9999,2,0.9999,0,1.0,1.0
hestia,gue_emp_h4,14601,2,0.9999,2,0.9999,1,1.0,1.0
hestia,gue_mouse_0,8098,3,0.9998,3,0.9998,2,1.0,2.0
hestia,gue_prom_300_all,59196,1,1.0,1,1.0,0,1.0,0.0
hestia,gue_prom_core_all,59196,2,1.0,2,1.0,1,1.0,1.0
hestia,lipophilicity,4200,830,0.5164,830,0.5164,595,476.6,353.4
hestia,pgp_broccatelli,1218,336,0.3949,336,0.3949,246,223.6,112.4
hestia,sr_are,5832,1083,0.6989,1083,0.6989,858,361.9,721.1
refnd,ames,7278,1038,0.0848,842,0.7517,563,830.0,208.0
refnd,caco2_wang,910,284,0.0484,283,0.0516,163,227.0,57.0
refnd,cyp2c19_veith,12665,3105,0.0677,2799,0.6527,2187,2484.0,621.0
refnd,dbaasp_amp,10664,845,0.246,495,0.9292,569,676.0,169.0
refnd,deeppromoter,3382,104,0.3495,22,0.9938,47,83.0,21.0
refnd,enzyme_topt,1886,1365,0.0122,1365,0.0122,1097,1092.0,273.0
refnd,gue_emp_h3,14965,9188,0.0468,9100,0.349,8608,7350.0,1838.0
refnd,gue_emp_h4,14601,8916,0.0577,8837,0.3466,8316,7132.0,1784.0
refnd,gue_mouse_0,8098,317,0.3408,91,0.9885,174,253.0,64.0
refnd,gue_prom_300_all,59196,18907,0.1675,14458,0.7215,15756,15125.0,3782.0
refnd,gue_prom_core_all,59196,848,0.2884,15,0.9998,33,678.0,170.0
refnd,lipophilicity,4200,999,0.0386,926,0.4174,666,799.0,200.0
refnd,pgp_broccatelli,1218,378,0.1502,363,0.367,267,302.0,76.0
refnd,sr_are,5825,1409,0.0894,1209,0.6601,999,1127.0,282.0
