method,dataset,total_seconds,peak_rss_mb,n_records
datasail,ames,2522.37,3200.5,10
datasail,caco2_wang,10098.07,637.3,10
datasail,cyp2c19_veith,11087.71,9067.8,10
datasail,dbaasp_amp,317.45,1279.0,10
datasail,enzyme_topt,142.98,942.5,10
datasail,lipophilicity,10210.53,1330.5,10
datasail,pgp_broccatelli,10063.14,721.1,10
datasail,sr_are,551.53,2075.7,10
hestia,ames,13.48,348.4,1
hestia,caco2_wang,0.62,286.2,1
hestia,cyp2c19_veith,43.37,422.4,1
hestia,dbaasp_amp,10.93,744.2,1
hestia,deeppromoter,3.51,999.2,1
hestia,enzyme_topt,8.97,286.4,1
hestia,gue_emp_h3,32.61,4955.9,1
hestia,gue_emp_h4,32.26,4958.7,1
hestia,gue_mouse_0,6.69,1284.0,1
hestia,gue_prom_300_all,146.98,5852.4,1
hestia,gue_prom_core_all,31.08,1532.1,1
hestia,lipophilicity,5.26,322.4,1
hestia,pgp_broccatelli,0.82,296.9,1
hestia,sr_are,9.27,328.3,1
mmseqs2,dbaasp_amp,67.99,920.8,1
mmseqs2,enzyme_topt,66.54,921.9,1
random,ames,0.04,142.7,1
random,caco2_wang,0.02,136.7,1
random,cyp2c19_veith,0.08,136.7,1
random,dbaasp_amp,0.1,116.1,1
random,deeppromoter,0.04,233.6,1
random,enzyme_topt,0.02,130.7,1
random,gue_emp_h3,0.07,233.6,1
random,gue_emp_h4,0.07,233.6,1
random,gue_mouse_0,0.04,233.6,1
random,gue_prom_300_all,0.25,233.6,1
random,gue_prom_core_all,0.24,183.4,1
random,lipophilicity,0.03,144.9,1
random,pgp_broccatelli,0.02,136.7,1
random,sr_are,0.03,146.9,1
refnd,ames,1.0,356.1,1
refnd,caco2_wang,0.71,213.0,1
refnd,cyp2c19_veith,49.24,1354.7,1
refnd,dbaasp_amp,7.83,432.5,1
refnd,deeppromoter,15.05,607.8,1
refnd,enzyme_topt,60.78,2110.0,1
refnd,gue_emp_h3,500.96,2402.1,1
refnd,gue_emp_h4,476.67,2400.4,1
refnd,gue_mouse_0,29.97,672.6,1
refnd,gue_prom_300_all,2319.6,1529.2,1
refnd,gue_prom_core_all,279.01,1073.9,1
refnd,lipophilicity,0.9,339.7,1
refnd,pgp_broccatelli,0.71,211.9,1
refnd,sr_are,0.94,356.0,1
